ID,primitive set,inputs,MAE train,MAE test,length,runtime,complexity,costs,fitness
1,add+sub+mul+div+nsum,r,3.2580250130640933,3.067106418887177,95,54.47664499282837,95,9,26.448774738263513
2,add+sub+mul+div+nsum+pow,r,1.69234149507907,2.162009695194405,97,155.8738443851471,97,13,22.366344176765057
3,add+sub+mul+div+nsum+aq,r,0.9879942777249926,1.280497840820113,110,139.6418595314026,110,2,6.452173558288758
4,add+sub+mul+div+nsum+aq+pow,r,0.6975033487711797,0.6411898039205146,38,215.41632795333862,38,4,1.1055291916883778
5,add+sub+mul+div+nsum,q,2.5328023935532196,2.0529581714511638,69,54.55043959617615,69,7,12.342147534927467
6,add+sub+mul+div+nsum+pow,q,5.941370158483537,5.666601446018664,45,66.84405446052551,45,2,130.7837535202697
7,add+sub+mul+div+nsum+aq,q,7.805807291288987,20.090101613314864,93,102.16933965682983,93,1,6366.320858391981
8,add+sub+mul+div+nsum+aq+pow,q,4.141208698391488,5.617436488007696,46,177.75691890716553,46,2,204.69781275077435
9,add+sub+mul+div+nsum,r+q,10.114536532708913,56.047497652309595,107,70.02065992355347,107,28,50279.08867828315
10,add+sub+mul+div+nsum+pow,r+q,2.2062677507802384,2.797424711940981,143,207.12205719947815,143,1,30.672059297529927
11,add+sub+mul+div+nsum+aq,r+q,3.473474466543319,3.8409070911454393,173,100.52328944206238,173,23,57.98045704736777
12,add+sub+mul+div+nsum+aq+pow,r+q,2.854905828815803,2.66551438407999,77,189.49176597595215,77,8,22.823656957900724
